surface	result	count	source	certainty	note
dirimirt	dirimiert	9	cab	cab	
roth	rot	9	cab	cab	
concretes	konkretes	8	hegel1+cab	sure	
Thier	Tier	8	hegel1+cab	sure	
Prädicaten	Prädikaten	8	hegel1+cab	sure	
transcendentale	transzendentale	8	cab	cab	
Abstracten	Abstrakten	8	cab	cab	
Philosophiren	Philosophieren	8	hegel1+cab	sure	
mannichfaltiger	mannigfaltiger	8	hegel1+cab	sure	
perennirende	perennierende	8	cab	cab	
Thalern	Talern	8	cab	cab	
factisch	faktisch	8	cab	cab	
heissen	heißen	8	cab	cab	ß beibehalten (Langvokal angenommen)
Daseyendes	Daseiendes	8	cab	cab	
blosser	bloßer	8	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
negirte	negierte	8	hegel1+cab	sure	
reflectirenden	reflektierenden	8	hegel1+cab	sure	
negirend	negierend	8	cab	cab	
blos	bloß	8	cab	cab	ß beibehalten (Langvokal angenommen)
Aeusseres	Äußeres	8	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Entzweyung	Entzweiung	8	hegel1+cab	sure	
Action	Aktion	8	hegel1+cab	sure	
repellirt	repelliert	8	cab-korrigiert	sure	CAB rebelliert verworfen
Irrthum	Irrtum	8	hegel1+cab	sure	
Ueberfluß	Überfluß	8	cab	cab	ß beibehalten (Langvokal angenommen)
discreten	diskreten	8	cab	cab	
continuirlichen	kontinuierlichen	8	hegel1+cab	sure	
Products	Produkts	8	hegel1+cab	sure	
Uebergange	Übergange	8	hegel1+cab	sure	
Existirendes	Existierendes	8	cab	cab	
transcendentalen	transzendentalen	8	cab	cab	
durchloffen	durchlaufen	8	cab	cab	
Maaßstab	Maßstab	8	cab	cab	ß beibehalten (Langvokal angenommen)
Maaßverhältniß	Maßverhältnis	8	cab	cab	ß beibehalten (Langvokal angenommen)
reflectirter	reflektierter	8	hegel1+cab	sure	
zurükgeht	zurückgeht	8	cab	cab	
inhäriren	inhärieren	8	cab	cab	
Urtheilsbestimmungen	Urteilsbestimmungen	8	hegel1+cab	sure	
realisiren	realisieren	8	hegel1+cab	sure	
Einfluß	Einfluss	7	hegel1	sure	
wiederhohlt	wiederholt	7	hegel1+cab	sure	
Verhältnißen	Verhältnissen	7	hegel1	sure	
selbstbewußten	selbstbewussten	7	hegel1	sure	
Schliessens	Schließens	7	cab	cab	ß beibehalten (Langvokal angenommen)
nothwendiges	notwendiges	7	hegel1+cab	sure	
eingetheilt	eingeteilt	7	cab	cab	
gewußt	gewusst	7	hegel1	sure	
einläßt	einlässt	7	hegel1	sure	
zweytes	zweites	7	hegel1+cab	sure	
Mannichfaltigen	Mannigfaltigen	7	cab	cab	
mancherley	mancherlei	7	hegel1+cab	sure	
Uebergangs	Übergangs	7	hegel1+cab	sure	
perennirend	perennierend	7	cab	cab	
seyns	seins	7	hegel1+cab	sure	
continuiren	kontinuieren	7	cab	cab	
Centralkörper	Zentralkörper	7	cab	cab	
auszuschliessen	auszuschließen	7	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
giebt	gibt	7	hegel1+cab	sure	
continuirlich	kontinuierlich	7	cab	cab	
particuläre	partikuläre	7	cab	cab	
direct	direkt	7	cab	cab	
verhältnißlose	verhältnislose	7	cab	cab	
Curven	Kurven	7	cab	cab	
Verhältnißbestimmung	Verhältnisbestimmung	7	cab	cab	
Reduction	Reduktion	7	hegel1+cab	sure	
begreiffen	begreifen	7	hegel1+cab	sure	
Schliessen	Schließen	7	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
existirendes	existierendes	7	hegel1+cab	sure	
Accidenz	Akzidenz	7	cab	cab	
Ursachlichkeit	Ursächlichkeit	7	cab	cab	
Theilung	Teilung	7	hegel1+cab	sure	
Reproduction	Reproduktion	7	hegel1+cab	sure	
abgestossen	abgestoßen	6	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
äussert	äußert	6	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Vortheil	Vorteil	6	hegel1+cab	sure	
Inconsequenz	Inkonsequenz	6	hegel1+cab	sure	
abstrahire	abstrahiere	6	cab	cab	
Aussersichseyns	Außersichseins	6	mech	mech	
Subjectiven	Subjektiven	6	hegel1+cab	sure	
vergißt	vergisst	6	hegel1	sure	
Beyspielen	Beispielen	6	hegel1+cab	sure	
Bewandniß	Bewandtnis	6	hegel1+cab	sure	
Disseits	Diesseits	6	hegel1+cab	sure	
ausserdem	außerdem	6	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Negirtseyn	Negiertsein	6	cab	cab	
realisirte	realisierte	6	hegel1+cab	sure	
definirt	definiert	6	cab	cab	
Discreten	Diskreten	6	cab	cab	
continuirlicher	kontinuierlicher	6	cab	cab	
