surface	result	count	source	certainty	note
wüßte	wüsste	2	hegel1	sure	
verschaft	verschafft	2	cab	cab	
vorausgeschikt	vorausgeschickt	2	cab	cab	
lehre	Lehre	2	cab	cab	
Bestandtheilen	Bestandteilen	2	cab	cab	
Formiren	Formieren	2	hegel1+cab	sure	
selbstbewußte	selbstbewusste	2	hegel1	sure	
Irrthümer	Irrtümer	2	hegel1+cab	sure	
zurükgefallen	zurückgefallen	2	cab	cab	
Rükschritt	Rückschritt	2	cab	cab	
nahmhaft	namhaft	2	cab	cab	
Misverstand	Missverstand	2	cab	cab	
erkännte	erkennte	2	hegel1	sure	
